Date,Growth,Inflation,Delta_Inflation
3/1/14,0,1.512202876,0.385853626
4/1/14,0,1.952857899,0.440655023
5/1/14,0,2.12711155,0.174253651
6/1/14,0,2.072341373,-0.054770177
7/1/14,0,1.992328636,-0.080012737
8/1/14,0,1.699611334,-0.292717302
9/1/14,0,1.657918676,-0.041692658
10/1/14,0,1.664340216,0.00642154
11/1/14,0,1.322355182,-0.341985033
12/1/14,0,0.75649327,-0.565861913
1/1/15,0,-0.089348313,-0.845841583
2/1/15,0,-0.025129802,0.064218511
3/1/15,0,-0.073637391,-0.048507589
4/1/15,0,-0.199517446,-0.125880055
5/1/15,0,-0.039932745,0.159584701
6/1/15,0,0.123771204,0.163703949
7/1/15,0,0.16956978,0.045798576
8/1/15,0,0.195079293,0.025509513
9/1/15,0,-0.036129748,-0.231209041
10/1/15,0,0.170574436,0.206704184
11/1/15,0,0.501797579,0.331223143
12/1/15,0,0.729519786,0.227722207
1/1/16,0,1.373086814,0.643567028
2/1/16,0,1.01779978,-0.355287034
3/1/16,0,0.852536221,-0.165263559
4/1/16,0,1.125110419,0.272574198
5/1/16,0,1.019322554,-0.105787865
6/1/16,0,0.997326495,-0.02199606
7/1/16,0,0.82713887,-0.170187624
8/1/16,0,1.062874503,0.235735632
9/1/16,0,1.463783647,0.400909145
10/1/16,0,1.635987521,0.172203873
11/1/16,0,1.692537163,0.056549642
12/1/16,0,2.074622133,0.38208497
1/1/17,0,2.500042209,0.425420076
2/1/17,0,2.737958171,0.237915962
3/1/17,0,2.380612433,-0.357345738
4/1/17,0,2.199689878,-0.180922555
5/1/17,0,1.874877721,-0.324812158
6/1/17,0,1.633487955,-0.241389766
7/1/17,0,1.727978456,0.094490501
8/1/17,0,1.938974212,0.210995756
9/1/17,0,2.232963865,0.293989653
10/1/17,0,2.041128702,-0.191835163
11/1/17,0,2.202582939,0.161454237
12/1/17,0,2.109082475,-0.093500464
1/1/18,0,2.07050762,-0.038574854
2/1/18,0,2.211795421,0.141287801
3/1/18,0,2.359711404,0.147915983
4/1/18,0,2.462743943,0.103032539
5/1/18,0,2.801011715,0.338267771
6/1/18,0,2.871547835,0.070536121
7/1/18,0,2.949515087,0.077967251
8/1/18,0,2.699180104,-0.250334982
9/1/18,0,2.276972194,-0.42220791
10/1/18,0,2.522469929,0.245497734
11/1/18,0,2.176601032,-0.345868896
12/1/18,0,1.910158849,-0.266442184
1/1/19,0,1.551235138,-0.35892371
2/1/19,0,1.520135266,-0.031099872
3/1/19,0,1.862522741,0.342387475
4/1/19,0,1.996439776,0.133917035
5/1/19,0,1.790228469,-0.206211307
6/1/19,0,1.648484656,-0.141743813
7/1/19,0,1.811464806,0.16298015
8/1/19,0,1.749779889,-0.061684917
9/1/19,0,1.711304513,-0.038475376
10/1/19,0,1.764042944,0.052738431
11/1/19,0,2.051277982,0.287235037
12/1/19,0,2.28512974,0.233851758
1/1/20,0,2.486571955,0.201442215
2/1/20,0,2.334873564,-0.151698391
3/1/20,1,1.539326992,-0.795546572
4/1/20,1,0.329096686,-1.210230306
5/1/20,0,0.11792637,-0.211170316
6/1/20,0,0.645733048,0.527806677
7/1/20,0,0.986081825,0.340348778
8/1/20,0,1.309645382,0.323563557
9/1/20,0,1.371324861,0.061679479
10/1/20,0,1.182066168,-0.189258693
11/1/20,0,1.174535784,-0.007530383
12/1/20,0,1.362005495,0.18746971
1/1/21,0,1.399769742,0.037764247
2/1/21,0,1.676215217,0.276445476
3/1/21,0,2.619762509,0.943547292
4/1/21,0,4.159694839,1.53993233
5/1/21,0,4.992706538,0.833011699
6/1/21,0,5.391451413,0.398744876
7/1/21,0,5.365475239,-0.025976174
8/1/21,0,5.251271555,-0.114203685
9/1/21,0,5.390348855,0.1390773
10/1/21,0,6.221868903,0.831520048
11/1/21,0,6.80900284,0.587133936
12/1/21,0,7.036402866,0.227400026
1/1/22,0,7.479872468,0.443469603
2/1/22,0,7.871063898,0.391191429
3/1/22,0,8.542455555,0.671391657
4/1/22,0,8.258629341,-0.283826214
5/1/22,0,8.581511544,0.322882203
6/1/22,0,9.059757965,0.478246421
7/1/22,0,8.524814746,-0.534943219
8/1/22,0,8.262692503,-0.262122243
9/1/22,0,8.201669644,-0.061022859
10/1/22,0,7.745427331,-0.456242313
11/1/22,0,7.110322794,-0.635104537
12/1/22,0,6.454401331,-0.655921463
1/1/23,0,6.410146969,-0.044254363
2/1/23,0,6.035613078,-0.374533891
3/1/23,0,4.984974122,-1.050638956
4/1/23,0,4.930320398,-0.054653724
5/1/23,0,4.047609273,-0.882711125
6/1/23,0,2.969177655,-1.078431618
7/1/23,0,3.177780178,0.208602523
8/1/23,0,3.665112384,0.487332206
9/1/23,0,3.699698121,0.034585737
10/1/23,0,3.241144652,-0.458553469
11/1/23,0,3.137270709,-0.103873943
12/1/23,0,3.352122831,0.214852123
1/1/24,0,3.090884781,-0.26123805
2/1/24,0,3.153171121,0.06228634
3/1/24,0,3.47738507,0.324213949
4/1/24,0,3.35736395,-0.12002112
5/1/24,0,3.269029057,-0.088334893
6/1/24,0,2.971397107,-0.29763195
7/1/24,0,2.894753198,-0.076643909
8/1/24,0,2.530730296,-0.364022902
9/1/24,0,2.440633031,-0.090097265
10/1/24,0,2.597904905,0.157271874
11/1/24,0,2.749380396,0.151475491
12/1/24,0,2.88805722,0.138676824
